id;structure_type;structure_label;problem_text;step_1_label;step_1_detail;step_1_formula;step_2_label;step_2_detail;step_2_formula;step_3_label;step_3_detail;step_3_formula;distractor_1_label;distractor_1_detail;distractor_1_formula;distractor_2_label;distractor_2_detail;distractor_2_formula;distractor_3_label;distractor_3_detail;distractor_3_formula;subq_1;subq_2;subq_3;subq_distractor_1;subq_distractor_2;error_step_index;error_wrong_label;error_wrong_detail;error_wrong_formula;flow_1_type;flow_1_text;flow_2_type;flow_2_text;flow_3_type;flow_3_text;flow_4_type;flow_4_text;flow_5_type;flow_5_text;flow_6_type;flow_6_text
3.4.5-01;A;Invoertarief: effect op prijs, hoeveelheid en welvaart;De EU heft een invoertarief van 20% op Chinese zonnepanelen. Analyseer het effect op de Europese markt.;Prijs stijgt;Het tarief verhoogt de prijs van Chinese zonnepanelen voor Europese kopers;;Vraag daalt, binnenlands aanbod stijgt;Door de hogere prijs kopen consumenten minder en worden Europese producenten concurrerender;;Welvaartsverlies;Het tarief leidt tot een deadweight loss: consumentenverlies is groter dan de winst voor producenten en overheid samen;;Prijs daalt door tarief;Een invoertarief verlaagt de prijs omdat buitenlandse producenten hun marge verlagen;;Consument profiteert;Consumenten profiteren van tarieven doordat de kwaliteit van binnenlandse producten stijgt;;Geen welvaartsverlies;Een tarief verplaatst alleen geld van consument naar overheid, zonder welvaartverlies;;Wat gebeurt er met de prijs van zonnepanelen door het tarief?;Hoe verandert de verhouding binnenlands/buitenlands aanbod?;Is er sprake van een welvaartsverlies?;Hoeveel zonnepanelen produceert China per jaar?;Welk percentage van de Europese energie komt van zonne-energie?;3;Geen welvaartsverlies;Het tarief leidt niet tot welvaartsverlies omdat de opbrengst volledig naar de overheid gaat;;cause;EU heft 20% invoertarief op Chinese zonnepanelen;reasoning;De prijs van Chinese panelen op de Europese markt stijgt;effect;Vraag naar Chinese panelen daalt, Europese producenten worden concurrerender;reasoning;Consumentenverlies is groter dan winst producenten + overheidsopbrengst;effect;Netto welvaartsverlies (deadweight loss) voor de EU als geheel;;
3.4.5-02;A;Invoertarief: effect op prijs, hoeveelheid en welvaart;De VS verhogen het invoertarief op staal van 5% naar 25%. Verklaar wie de winnaars en verliezers zijn.;Amerikaanse staalproducenten winnen;Het hogere tarief beschermt hen tegen goedkoper buitenlands staal;;Amerikaanse staalkoperrs verliezen;Bedrijven die staal nodig hebben (auto-industrie, bouw) betalen meer voor hun grondstof;;Overheid ontvangt tariefopbrengst;De overheid int het tarief, maar het netto-welvaartseffect is negatief;;Iedereen wint;Een hoger tarief is positief voor alle partijen in de economie;;Buitenlandse producent betaalt het tarief;Het tarief wordt volledig gedragen door de buitenlandse exporteur;;Consumenten merken niets;Het tarief op staal heeft geen effect op consumentenprijzen;;Welke binnenlandse sector profiteert van het staaltar tarief?;Welke binnenlandse sectoren worden benadeeld?;Wie ontvangt de tariefopbrengst?;Hoeveel staalfabrieken heeft de VS?;Welk land exporteert het meeste staal?;2;Staalkopende bedrijven profiteren ook;Bedrijven die staal inkopen profiteren omdat het tarief de kwaliteit van binnenlands staal verhoogt;;cause;VS verhogen invoertarief op staal van 5% naar 25%;reasoning;Buitenlands staal wordt duurder op de Amerikaanse markt;effect;Amerikaanse staalproducenten winnen marktaandeel;reasoning;Maar staalverwerkers betalen meer voor hun grondstof;effect;"Winnaars: staalproducenten en overheid; verliezers: staalkopende bedrijven en consumenten";;
3.4.5-03;A;Invoertarief: effect op prijs, hoeveelheid en welvaart;India heft een hoog invoertarief op elektronica om de binnenlandse industrie te beschermen. Analyseer of dit op lange termijn verstandig is.;Korte termijn: bescherming;Het tarief geeft Indiase elektronicafabrikanten tijd om te groeien zonder buitenlandse concurrentie;;Risico: inefficiëntie;Zonder concurrentiedruk kunnen binnenlandse bedrijven inefficiënt blijven;;Lange termijn: consumenten betalen meer;Consumenten betalen structureel hogere prijzen voor kwalitatief mindere producten;;Tarieven zijn altijd goed;Invoertarieven zijn op zowel korte als lange termijn voordelig voor het land;;Binnenlandse bedrijven worden vanzelf efficiënt;Beschermde bedrijven worden automatisch efficiënter zonder concurrentiedruk;;Alleen de overheid profiteert;Het enige effect van het tarief is dat de overheid geld binnenkrijgt;;Wat is het voordeel op korte termijn?;Welk risico bestaat er op langere termijn?;Wat is het effect op consumenten?;Hoeveel inwoners heeft India?;Welke smartphonemerken zijn populair in India?;2;Automatische efficiëntie;Beschermde bedrijven worden vanzelf efficiënt doordat ze meer omzet draaien;;cause;India heft hoog invoertarief op elektronica;reasoning;Binnenlandse fabrikanten krijgen bescherming tegen buitenlandse concurrentie;effect;Op korte termijn groeit de Indiase elektronica-industrie;reasoning;Maar zonder concurrentiedruk is er weinig prikkel om te innoveren;effect;Op lange termijn: consumenten betalen meer voor minder efficiënte producten;;
3.4.5-04;B;Quota en niet-tarifaire belemmeringen;Japan stelt een importquotum in op rijst: maximaal 100.000 ton per jaar mag worden ingevoerd. Analyseer het verschil met een tarief.;Hoeveelheidsbeperking;Een quotum beperkt direct de ingevoerde hoeveelheid, ongeacht de prijs;;Prijseffect vergelijkbaar;Net als bij een tarief stijgt de binnenlandse prijs doordat het aanbod beperkt wordt;;Geen overheidsopbrengst;Bij een quotum gaat het prijsverschil naar de importeur, niet naar de overheid (tenzij er veilingrechten zijn);;Quotum en tarief zijn identiek;Een importquotum heeft exact dezelfde effecten als een invoertarief;;Quotum verlaagt de prijs;Een quotum verlaagt de binnenlandse prijs doordat er een maximum op import zit;;Overheid verdient altijd aan een quotum;De overheid ontvangt automatisch opbrengsten bij elk importquotum;;Hoe beperkt een quotum de import?;Wat is het effect op de binnenlandse prijs?;Wat is het belangrijkste verschil met een tarief qua overheidsopbrengst?;Hoeveel rijst eet Japan per jaar?;Welk land exporteert de meeste rijst?;3;Overheid ontvangt opbrengst;Bij een quotum gaat het volledige prijsverschil naar de overheid als inkomsten;;cause;Japan stelt een importquotum van 100.000 ton rijst in;reasoning;De maximale importhoeveelheid is direct begrensd;effect;Het binnenlandse aanbod wordt kleiner, de prijs stijgt;reasoning;In tegenstelling tot een tarief ontvangt de overheid geen opbrengst;effect;Het prijsverschil gaat naar de importeur, niet naar de schatkist;;
3.4.5-05;B;Quota en niet-tarifaire belemmeringen;De EU stelt strenge voedselveiligheidseisen aan geïmporteerd vlees. Amerikaans vlees met hormonen wordt geweerd. Is dit protectionisme?;Officieel doel: consumentenbescherming;De EU stelt dat hormoonvlees risico's oplevert voor de volksgezondheid;;Handelsbelemmering in de praktijk;Het effect is dat Amerikaans vlees niet op de Europese markt komt, wat Europese boeren beschermt;;Grijs gebied;Niet-tarifaire belemmeringen kunnen zowel legitieme als protectionistische doelen dienen;;Dit is puur protectionisme;Voedselveiligheidseisen zijn altijd een excuus voor protectionisme;;Dit heeft geen handelseffect;Voedselveiligheidsnormen hebben nooit effect op de handel;;Alleen de VS gebruikt niet-tarifaire belemmeringen;Niet-tarifaire belemmeringen worden alleen door de VS ingezet;;Wat is het officiële doel van de Europese eis?;Wat is het feitelijke handelseffect?;Waarom is dit een grijs gebied?;Hoeveel vlees eten Europeanen per jaar?;Welk land is de grootste vleesexporteur ter wereld?;1;Geen gezondheidsargument;De EU weert Amerikaans vlees uitsluitend om economische redenen, zonder gezondheidsargumenten;;cause;De EU verbiedt import van hormoonvlees uit de VS;reasoning;Officieel vanwege volksgezondheidsrisico's;effect;Amerikaans vlees komt niet op de Europese markt;reasoning;Dit beschermt tegelijkertijd Europese veehouders;effect;Grijs gebied: gezondheidsnorm of verkapte handelsbelemmering?;;
3.4.5-06;B;Quota en niet-tarifaire belemmeringen;China eist dat buitenlandse techbedrijven hun data op Chinese servers opslaan. Analyseer dit als niet-tarifaire belemmering.;Regelgeving als barrière;De eis om data lokaal op te slaan verhoogt de kosten voor buitenlandse bedrijven;;Bescherming binnenlandse markt;Chinese techbedrijven hebben dit nadeel niet, wat hen een concurrentievoordeel geeft;;Meerdere doelen tegelijk;China bereikt hiermee zowel dataveiligheid als bescherming van de binnenlandse tech-sector;;Geen effect op buitenlandse bedrijven;De data-eis heeft geen invloed op de kosten van buitenlandse techbedrijven;;Dit is een tariefmaatregel;Het verplicht opslaan van data op Chinese servers is een vorm van invoertarief;;Alleen kleine bedrijven worden geraakt;Alleen kleine buitenlandse startups ondervinden hinder van deze eis;;Hoe werkt de data-eis als handelsbelemmering?;Welk voordeel hebben Chinese techbedrijven hierdoor?;Welke doelen dient China met deze maatregel?;Hoeveel techbedrijven heeft China?;Wat is de omzet van het Chinese internet?;2;Chinese bedrijven ook benadeeld;De data-eis geldt voor Chinese en buitenlandse bedrijven in gelijke mate;;cause;China eist lokale dataopslag van buitenlandse techbedrijven;reasoning;Dit verhoogt de operationele kosten voor buitenlandse bedrijven;effect;Buitenlandse techbedrijven hebben een concurrentienadeel;reasoning;Chinese bedrijven slaan data al lokaal op en hebben dit nadeel niet;effect;De maatregel beschermt de Chinese tech-sector én dient dataveiligheid;;
3.4.5-07;C;WTO en vrijhandelsafspraken;De WTO hanteert het principe van meestbegunstiging (MFN). Leg uit wat dit betekent en waarom het belangrijk is.;MFN-principe;Als een land een lager tarief geeft aan één WTO-lid, moet het dit aan alle WTO-leden geven;;Gelijke behandeling;Hierdoor worden landen niet gediscrimineerd in de handel;;Stimuleert vrijhandel;Het MFN-principe voorkomt dat landen selectief hoge tarieven opleggen aan specifieke landen;;MFN geldt alleen voor grote landen;Het meestbegunstigingsprincipe geldt alleen voor de G20-landen;;MFN betekent nultarief;Meestbegunstiging houdt in dat alle tarieven op nul worden gezet;;WTO kan tarieven afdwingen;De WTO kan zelf tarieven opleggen aan landen die zich niet aan de regels houden;;Wat houdt het MFN-principe in?;Hoe voorkomt MFN discriminatie?;Waarom stimuleert dit vrijhandel?;Hoeveel leden heeft de WTO?;Wanneer is de WTO opgericht?;1;MFN = nultarief;Meestbegunstiging betekent dat alle WTO-leden nul invoerrechten betalen;;cause;WTO-leden spreken het MFN-principe af;reasoning;Een tarief dat aan één lid wordt verlaagd, geldt voor alle leden;effect;Landen kunnen niet selectief discrimineren;reasoning;Gelijke behandeling moedigt open handel aan;effect;Wereldhandel wordt eerlijker en voorspelbaarder;;
3.4.5-08;C;WTO en vrijhandelsafspraken;De EU sluit een vrijhandelsakkoord met Canada (CETA). Verklaar het voordeel boven alleen WTO-regels.;Lagere tarieven dan MFN;CETA verlaagt tarieven tussen EU en Canada verder dan de WTO-minimumtarieven;;Harmonisatie van standaarden;Wederzijdse erkenning van keurmerken en normen vermindert niet-tarifaire belemmeringen;;Diepere economische integratie;CETA gaat verder dan de WTO door ook investeringsbescherming en dienstenmarkt te regelen;;CETA vervangt de WTO;Een bilateraal handelsverdrag vervangt de WTO-regels volledig;;WTO verbiedt bilaterale afspraken;De WTO staat geen bilaterale handelsakkoorden toe naast de multilaterale regels;;CETA verhoogt tarieven;CETA verhoogt de tarieven tussen EU en Canada om eigen industrie te beschermen;;Hoe verschilt CETA van WTO-regels op het gebied van tarieven?;Welke extra voordelen biedt CETA naast lagere tarieven?;Waarom kiezen landen voor bilaterale akkoorden naast de WTO?;Hoeveel handel is er tussen de EU en Canada?;Wanneer is CETA ondertekend?;1;Hogere tarieven;CETA verhoogt de onderlinge tarieven zodat beide partijen hun industrie beter kunnen beschermen;;cause;EU en Canada sluiten het CETA-vrijhandelsakkoord;reasoning;Onderlinge tarieven worden verder verlaagd dan WTO-minimumtarieven;effect;Meer handel tussen EU en Canada;reasoning;Daarnaast worden standaarden geharmoniseerd en investeringsregels afgesproken;effect;Diepere economische integratie dan onder WTO-regels alleen;;
3.4.5-09;C;WTO en vrijhandelsafspraken;De WTO-geschillenbeslechting is vastgelopen doordat de VS benoemingen voor het beroepsorgaan blokkeren. Analyseer de gevolgen.;Beroepsorgaan niet functioneel;Zonder voldoende leden kan het beroepsorgaan geen uitspraken doen;;Geschillen blijven onopgelost;Landen kunnen in beroep gaan tegen uitspraken, waardoor ze in een juridisch vacuüm belanden;;Ondermijning van de handelsorde;Zonder effectieve geschillenbeslechting verliezen WTO-regels aan afdwingbaarheid;;Geschillen worden automatisch opgelost;WTO-geschillen lossen zichzelf op als het beroepsorgaan niet functioneert;;VS trekt zich terug uit WTO;Het blokkeren van benoemingen betekent dat de VS de WTO verlaat;;Andere organisaties nemen het over;Het IMF neemt automatisch de geschillenbeslechting over van de WTO;;Waarom functioneert het beroepsorgaan niet?;Wat gebeurt er met lopende geschillen?;Wat betekent dit voor de mondiale handelsorde?;Hoeveel geschillen zijn er bij de WTO ingediend?;Welk land heeft de meeste WTO-zaken gewonnen?;2;Geschillen worden direct opgelost;Zonder beroepsorgaan worden alle geschillen automatisch in het voordeel van de eiser beslist;;cause;VS blokkeert benoemingen voor het WTO-beroepsorgaan;reasoning;Het beroepsorgaan heeft onvoldoende leden om te functioneren;effect;Geschillen kunnen niet definitief worden beslecht;reasoning;Landen gaan in beroep tegen uitspraken die in een vacuüm terechtkomen;effect;WTO-regels verliezen aan afdwingbaarheid, handelsorde verzwakt;;
3.4.5-10;D;Protectionisme-argumenten evalueren;Een land beschermt zijn jonge staalindustrie met een tarief. Dit wordt het infant industry-argument genoemd. Beoordeel dit argument.;Argument: tijdelijke bescherming;De jonge industrie heeft tijd nodig om schaalvoordelen op te bouwen en concurrerend te worden;;Voorwaarde: tijdelijk;"Het tarief moet eindig zijn; als het permanent wordt, ontbreekt de prikkel om efficiënt te worden";;Risico: lobby en inefficiëntie;"In de praktijk wordt ""tijdelijke"" bescherming vaak permanent doordat de industrie lobbyt";;Infant industry is altijd goed;Bescherming van jonge industrieën leidt altijd tot een succesvolle binnenlandse sector;;Infant industry is altijd slecht;Het beschermen van jonge industrieën is nooit gerechtvaardigd;;Subsidie werkt nooit;Een subsidie is altijd minder effectief dan een tarief voor jonge industrieën;;Wat is het kernargument voor infant industry-bescherming?;Onder welke voorwaarde is het verdedigbaar?;Welk risico zit er aan in de praktijk?;Hoeveel jonge industrieën zijn er wereldwijd?;Welk land heeft het meeste staal?;2;Permanent tarief is nodig;Het tarief moet permanent zijn om de industrie blijvend te beschermen tegen concurrentie;;cause;Een land heeft een jonge staalindustrie zonder schaalvoordelen;reasoning;Met tijdelijke bescherming kan de industrie groeien en efficiënt worden;effect;Na verloop van tijd zou de industrie zelfstandig concurrerend moeten zijn;reasoning;Maar in de praktijk lobbyen bedrijven voor permanente bescherming;effect;Risico op inefficiëntie en permanent hogere prijzen voor consumenten;;
